Datos 50 iteraciones,Datos 10000 iteraciones
0.96,0.96
0.1536,0.1536
0.520028,0.520028
0.998395,0.998395
0.00640774,0.00640774
0.0254667,0.0254667
0.0992726,0.0992726
0.35767,0.35767
0.918969,0.918969
0.29786,0.29786
0.836557,0.836557
0.546917,0.546917
0.991195,0.991195
0.034909,0.034909
0.134761,0.134761
0.466403,0.466403
0.995485,0.995485
0.0179785,0.0179785
0.0706211,0.0706211
0.262535,0.262535
0.774441,0.774441
0.698727,0.698727
0.84203,0.84203
0.532063,0.532063
0.995888,0.995888
0.0163812,0.0163812
0.0644512,0.0644512
0.241189,0.241189
0.732068,0.732068
0.784578,0.784578
0.676061,0.676061
0.87601,0.87601
0.434465,0.434465
0.982821,0.982821
0.067536,0.067536
0.251899,0.251899
0.753784,0.753784
0.742374,0.742374
0.76502,0.76502
0.719059,0.719059
0.808053,0.808053
0.620412,0.620412
0.942003,0.942003
0.218532,0.218532
0.683103,0.683103
0.865893,0.865893
0.464488,0.464488
0.994956,0.994956
0.0200758,0.0200758
0.0786912,0.0786912
,0.289996
,0.823593
,0.581151
,0.973658
,0.102592
,0.368269
,0.930587
,0.258378
,0.766475
,0.715963
,0.813439
,0.607023
,0.954184
,0.174868
,0.577156
,0.976188
,0.0929817
,0.337344
,0.894173
,0.378512
,0.940962
,0.222209
,0.691328
,0.853574
,0.499942
,1
,5.42911e-08
,2.17164e-07
,8.68657e-07
,3.47463e-06
,1.38985e-05
,5.5593e-05
,0.00022236
,0.000889242
,0.0035538
,0.0141647
,0.0558562
,0.210945
,0.665789
,0.890056
,0.391427
,0.952847
,0.179717
,0.589676
,0.967833
,0.12453
,0.436089
,0.983662
,0.0642858
,0.240613
,0.730873
,0.786792
,0.671002
,0.883033
,0.413144
,0.969824
,0.117061
,0.413431
,0.970023
,0.116314
,0.411139
,0.968415
,0.12235
,0.429522
,0.980131
,0.0778963
,0.287314
,0.819058
,0.592807
,0.965547
,0.133063
,0.461428
,0.994049
,0.0236636
,0.0924147
,0.335497
,0.891755
,0.386113
,0.948119
,0.196758
,0.632178
,0.930116
,0.260001
,0.769601
,0.709261
,0.82484
,0.577917
,0.975716
,0.0947772
,0.343178
,0.901628
,0.354781
,0.915646
